c_indentation_checker.py: DEBUG: <module>(): 200:	File: binary_matrix.c
c_indentation_checker.py: DEBUG: getIndentationStandard(): 97:	At line 1
c_indentation_checker.py: DEBUG: getIndentationStandard(): 98:	PreStrip: Commented: False
c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: /*
c_indentation_checker.py: DEBUG: stripComments(): 47:	
c_indentation_checker.py: DEBUG: getIndentationStandard(): 100:	PostStrip: Commented: True
c_indentation_checker.py: DEBUG: getIndentationStandard(): 97:	At line 2
c_indentation_checker.py: DEBUG: getIndentationStandard(): 98:	PreStrip: Commented: True
c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * binary_matrix.c
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: getIndentationStandard(): 100:	PostStrip: Commented: True
c_indentation_checker.py: DEBUG: getIndentationStandard(): 97:	At line 3
c_indentation_checker.py: DEBUG: getIndentationStandard(): 98:	PreStrip: Commented: True
c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Daniel Andrade 913211982
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: getIndentationStandard(): 100:	PostStrip: Commented: True
c_indentation_checker.py: DEBUG: getIndentationStandard(): 97:	At line 4
c_indentation_checker.py: DEBUG: getIndentationStandard(): 98:	PreStrip: Commented: True
c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * An implementation of a Binary Matrix
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: getIndentationStandard(): 100:	PostStrip: Commented: True
c_indentation_checker.py: DEBUG: getIndentationStandard(): 97:	At line 5
c_indentation_checker.py: DEBUG: getIndentationStandard(): 98:	PreStrip: Commented: True
c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  */
c_indentation_checker.py: DEBUG: stripComments(): 35:	
c_indentation_checker.py: DEBUG: getIndentationStandard(): 100:	PostStrip: Commented: False
c_indentation_checker.py: DEBUG: getIndentationStandard(): 97:	At line 6
c_indentation_checker.py: DEBUG: getIndentationStandard(): 98:	PreStrip: Commented: False
c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: getIndentationStandard(): 100:	PostStrip: Commented: False
c_indentation_checker.py: DEBUG: getIndentationStandard(): 97:	At line 7
c_indentation_checker.py: DEBUG: getIndentationStandard(): 98:	PreStrip: Commented: False
c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: getIndentationStandard(): 100:	PostStrip: Commented: False
c_indentation_checker.py: DEBUG: getIndentationStandard(): 97:	At line 8
c_indentation_checker.py: DEBUG: getIndentationStandard(): 98:	PreStrip: Commented: False
